question	réponse	tags
Qu'est-ce que FreeBSD et de quel projet descend-il ?	FreeBSD est un OS open source de type Unix dérivé de 4.4BSD-Lite, lui-même issu de BSD (Berkeley Software Distribution), une variante de Unix développée à l'Université de Californie à Berkeley dans les années 1970-80.	ch01
Quelle est la différence principale entre FreeBSD, NetBSD et OpenBSD ?	Ils descendent tous trois du 386BSD/Net2. FreeBSD vise performance et richesse fonctionnelle sur x86 ; NetBSD vise la portabilité maximale (dizaines d'architectures) ; OpenBSD vise la sécurité et l'audit de code en priorité absolue.	ch01
Qu'est-ce qu'un noyau monolithique ? Comment FreeBSD s'y inscrit-il ?	Un noyau monolithique est un noyau où tous les services OS (mémoire, FS, réseau, pilotes) s'exécutent en espace noyau dans un seul espace d'adressage. FreeBSD est monolithique, mais supporte les modules chargeables (kld) pour ajouter des pilotes et FS sans recompiler.	ch01 ch02
Quelle est la philosophie de conception principale de FreeBSD ?	Performance, portabilité, conformité aux standards (POSIX), et stabilité. Préférence pour des solutions pragmatiques éprouvées plutôt que l'élégance théorique pure. Priorité donnée aux fonctionnalités utiles aux vrais utilisateurs et serveurs.	ch01 ch02
Quelle est la différence entre mode utilisateur et mode noyau ?	Mode utilisateur : espace d'adressage restreint, accès limité au matériel, instructions non-privilégiées seulement. Mode noyau : accès complet au matériel et à la mémoire, instructions privilégiées autorisées. Le passage entre les deux se fait exclusivement via les appels système ou les interruptions.	ch02
Comment fonctionne un appel système sur x86-64 FreeBSD ?	1) Le code utilisateur prépare les arguments dans les registres. 2) L'instruction SYSCALL transfère le contrôle en mode noyau. 3) Le noyau sauvegarde le contexte utilisateur. 4) Il consulte la table sysent[] via le numéro de syscall. 5) Il exécute le handler. 6) Il restore le contexte et retourne en mode utilisateur via SYSRET.	ch02
Qu'est-ce qu'un processus dans FreeBSD ? Quelle structure le représente ?	Un processus est un programme en cours d'exécution. Il est représenté par une struct proc contenant : espace d'adressage virtuel (p_vmspace), threads (p_threads), descripteurs de fichiers (p_fd), informations de sécurité (p_ucred), PID, et état. Source : sys/sys/proc.h.	ch02
Quelle est la différence entre struct proc et struct thread dans FreeBSD ?	struct proc est l'unité d'isolation (espace d'adressage, ressources, PID). struct thread est l'unité d'exécution (contexte CPU, pile noyau, état de scheduling). Un processus peut avoir plusieurs threads partageant son espace d'adressage.	ch02
Qu'est-ce qu'un descripteur de fichier (fd) ? Comment est-il représenté côté noyau ?	Côté utilisateur : un entier (0, 1, 2, 3…). Côté noyau : une entrée dans la table de descripteurs du processus (p_fd) pointant vers une struct file, laquelle pointe vers une ressource (vnode, socket, pipe, kqueue…) avec ses opérations associées.	ch02
Qu'est-ce que le VFS (Virtual File System) ? Quel est son rôle ?	Couche d'abstraction qui fournit une interface uniforme pour tous les systèmes de fichiers (UFS/FFS, ZFS, NFS, devfs, procfs…). Les applications appellent open/read/write sans savoir quel FS est dessous. Le VFS route vers les opérations spécifiques via les vnodes.	ch02
